route_num_1,route_num_2,stop_id,pattern_id_1,pattern_id_2
"150","180","0","21150186","21180090"
"150","180","0","21150186","21180095"
"150","180","0","21150186","21180095"
"150","180","0","21150168","21180090"
"150","180","0","21150168","21180090"
"150","180","0","21150186","21180090"
"150","180","0","21150186","21180090"
"150","180","0","21150186","21180095"
"150","180","0","21150186","21180095"
"775","775","0","11775001","20775002"
"775","775","0","11775001","20775002"
"775","775","0","11775001","20775002"
"775","775","0","11775001","20775002"
"241","226","0","11241001","40226429"
"241","226","0","11241001","40226429"
"241","226","0","11241001","40226430"
"241","226","0","11241001","40226430"
"241","226","0","11241001","40226431"
"241","226","0","11241001","40226431"
"241","226","0","11241001","40226434"
"241","226","0","11241001","40226434"
"241","226","0","11241002","40226434"
"241","226","0","11241002","40226434"
"241","226","0","11241001","40226429"
"241","226","0","11241001","40226429"
"241","226","0","11241001","40226430"
"241","226","0","11241001","40226430"
"241","226","0","11241001","40226431"
"241","226","0","11241001","40226431"
"241","226","0","11241001","40226434"
"241","226","0","11241001","40226434"
"241","226","0","11241002","40226434"
"241","226","0","11241002","40226434"
"226","241","0","31226432","20241003"
"226","241","0","31226432","20241003"
"226","241","0","31226432","20241004"
"226","241","0","31226432","20241004"
"226","241","0","31226433","20241003"
"226","241","0","31226433","20241003"
"226","241","0","31226433","20241004"
"226","241","0","31226433","20241004"
"226","241","0","31226433","20241005"
"226","241","0","31226433","20241005"
"226","241","0","31226435","20241003"
"226","241","0","31226435","20241003"
"226","241","0","31226432","20241003"
"226","241","0","31226432","20241003"
"226","241","0","31226432","20241004"
"226","241","0","31226432","20241004"
"226","241","0","31226433","20241003"
"226","241","0","31226433","20241003"
"226","241","0","31226433","20241004"
"226","241","0","31226433","20241004"
"226","241","0","31226433","20241005"
"226","241","0","31226433","20241005"
"226","241","0","31226435","20241003"
"226","241","0","31226435","20241003"
"62","29","0","11062023","20029013"
"62","29","0","11062023","20029013"
"62","29","0","11062023","20029013"
"62","29","0","11062023","20029013"
"673","673","0","21673015","10673007"
"673","673","0","21673015","10673007"
"673","673","0","21673015","10673007"
"673","673","0","21673015","10673007"
"674","673","0","20674021","21673015"
"674","673","0","20674021","21673015"
"674","673","0","20674021","21673015"
"674","673","0","20674021","21673015"
"61","61","0","11061015","20061014"
"61","61","0","11061015","20061014"
"61","61","0","11061015","20061014"
"61","61","0","11061015","20061014"
"673","674","185","10673012","11674023"
"673","674","185","10673012","11674023"
"673","674","185","10673012","11674024"
"673","674","185","10673012","11674024"
"673","674","185","10673012","11674023"
"673","674","185","10673012","11674023"
"673","674","185","10673012","11674024"
"673","674","185","10673012","11674024"
"674","674","0","11674024","20674020"
"674","674","0","11674024","20674020"
"674","674","0","11674024","20674020"
"674","674","0","11674024","20674020"
"14","1","3600","10014603","11001035"
"14","1","3600","10014603","11001035"
"14","1","3600","10014604","11001035"
"14","1","3600","10014604","11001035"
"14","1","3600","10014603","11001035"
"14","1","3600","10014603","11001035"
"14","1","3600","10014604","11001035"
"14","1","3600","10014604","11001035"
"10","10","0","20010023","11010027"
"10","10","0","20010023","11010027"
"10","10","0","20010023","11010027"
"10","10","0","20010023","11010027"
"105","105","0","11105009","20105010"
"105","105","0","11105009","20105010"
"105","105","0","11105009","20105010"
"105","105","0","11105009","20105010"
"148","107","46468","10148007","10107014"
"148","107","46468","10148007","10107014"
"148","107","46468","10148007","10107014"
"148","107","46468","10148007","10107014"
"11","11","0","20011052","11011051"
"11","11","0","20011052","11011051"
"11","11","0","20011052","11011051"
"11","11","0","20011052","11011051"
"110","110","0","21110021","10110019"
"110","110","0","21110021","10110019"
"110","110","0","21110021","10110019"
"110","110","0","21110021","10110019"
"118","118","0","10118346","21118349"
"118","118","0","10118346","21118349"
"118","118","0","21118335","10118347"
"118","118","0","21118335","10118347"
"118","118","0","21118342","10118362"
"118","118","0","21118342","10118362"
"118","118","0","10118346","21118349"
"118","118","0","10118346","21118349"
"118","118","0","21118335","10118347"
"118","118","0","21118335","10118347"
"118","118","0","21118342","10118362"
"118","118","0","21118342","10118362"
"12","12","1400","10012036","21012037"
"12","12","1400","10012036","21012037"
"12","12","1400","10012036","21012037"
"12","12","1400","10012036","21012037"
"120","120","0","10120056","21120057"
"120","120","0","10120056","21120057"
"120","120","0","10120056","21120057"
"120","120","0","10120056","21120057"
"122","121","190","10122018","21121092"
"122","121","190","10122018","21121092"
"122","121","190","10122018","21121092"
"122","121","190","10122018","21121092"
"121","121","190","10121087","21121092"
"121","121","190","10121087","21121092"
"121","121","190","10121087","21121092"
"121","121","190","10121087","21121092"
"123","121","190","10123016","21121092"
"123","121","190","10123016","21121092"
"123","121","190","10123016","21121092"
"123","121","190","10123016","21121092"
"24","124","0","20024101","21124051"
"24","124","0","20024101","21124051"
"24","124","0","20024101","21124052"
"24","124","0","20024101","21124052"
"24","124","0","20024102","21124051"
"24","124","0","20024102","21124051"
"24","124","0","20024102","21124052"
"24","124","0","20024102","21124052"
"24","124","0","20024101","21124051"
"24","124","0","20024101","21124051"
"24","124","0","20024101","21124052"
"24","124","0","20024101","21124052"
"24","124","0","20024102","21124051"
"24","124","0","20024102","21124051"
"24","124","0","20024102","21124052"
"24","124","0","20024102","21124052"
"19","124","0","20019026","21124051"
"19","124","0","20019026","21124051"
"19","124","0","20019026","21124052"
"19","124","0","20019026","21124052"
"19","124","0","20019026","21124051"
"19","124","0","20019026","21124051"
"19","124","0","20019026","21124052"
"19","124","0","20019026","21124052"
"125","125","0","10125036","21125037"
"125","125","0","10125036","21125037"
"125","125","0","10125038","21125037"
"125","125","0","10125038","21125037"
"125","125","0","10125036","21125037"
"125","125","0","10125036","21125037"
"125","125","0","10125038","21125037"
"125","125","0","10125038","21125037"
"3","13","12880","10003559","11013018"
"3","13","12880","10003559","11013018"
"3","13","12880","10003559","11013018"
"3","13","12880","10003559","11013018"
"4","13","12880","10004557","11013018"
"4","13","12880","10004557","11013018"
"4","13","12880","10004557","11013018"
"4","13","12880","10004557","11013018"
"2","13","3037","10002554","11013018"
"2","13","3037","10002554","11013018"
"2","13","3037","10002554","11013018"
"2","13","3037","10002554","11013018"
"26","131","0","20026063","21131098"
"26","131","0","20026063","21131098"
"26","131","0","20026063","21131100"
"26","131","0","20026063","21131100"
"26","131","0","20026063","21131102"
"26","131","0","20026063","21131102"
"26","131","0","20026063","21131098"
"26","131","0","20026063","21131098"
"26","131","0","20026063","21131100"
"26","131","0","20026063","21131100"
